NAME,CENSUS2010POP,POPESTIMATE2019
United States,308745538,328239523
Northeast Region,55317240,55982803
Midwest Region,66927001,68329004
South Region,114555744,125580448
West Region,71945553,78347268
Alabama,4779736,4903185
Alaska,710231,731545
Arizona,6392017,7278717
Arkansas,2915918,3017804
California,37253956,39512223
Colorado,5029196,5758736
Connecticut,3574097,3565287
Delaware,897934,973764
District of Columbia,601723,705749
Florida,18801310,21477737
Georgia,9687653,10617423
Hawaii,1360301,1415872
Idaho,1567582,1787065
Illinois,12830632,12671821
Indiana,6483802,6732219
Iowa,3046355,3155070
Kansas,2853118,2913314
Kentucky,4339367,4467673
Louisiana,4533372,4648794
Maine,1328361,1344212
Maryland,5773552,6045680
Massachusetts,6547629,6892503
Michigan,9883640,9986857
Minnesota,5303925,5639632
Mississippi,2967297,2976149
Missouri,5988927,6137428
Montana,989415,1068778
Nebraska,1826341,1934408
Nevada,2700551,3080156
New Hampshire,1316470,1359711
New Jersey,8791894,8882190
New Mexico,2059179,2096829
New York,19378102,19453561
North Carolina,9535483,10488084
North Dakota,672591,762062
Ohio,11536504,11689100
Oklahoma,3751351,3956971
Oregon,3831074,4217737
Pennsylvania,12702379,12801989
Rhode Island,1052567,1059361
South Carolina,4625364,5148714
South Dakota,814180,884659
Tennessee,6346105,6829174
Texas,25145561,28995881
Utah,2763885,3205958
Vermont,625741,623989
Virginia,8001024,8535519
Washington,6724540,7614893
West Virginia,1852994,1792147
Wisconsin,5686986,5822434
Wyoming,563626,578759
Puerto Rico,3725789,3193694
